index,id,name,category,file,url,platform,description,added
001,yt-dlp,yt-dlp,Media,tools/yt-dlp.qmd,https://github.com/yt-dlp/yt-dlp,all,Video and audio downloader,2026-04-13
002,ffmpeg,ffmpeg,Media,tools/ffmpeg.qmd,https://ffmpeg.org,all,Multimedia processing toolkit,2026-04-13
003,typora,Typora,Writing,tools/typora.qmd,https://typora.io,win/mac/linux,Markdown editor with live preview,2026-04-13
004,ffsubsync,ffsubsync,Media,tools/ffsubsync.qmd,https://github.com/smacke/ffsubsync,all,Automatic subtitle synchronization tool,2026-04-13
005,subtitleedit,Subtitle Edit,Media,tools/subtitleedit.qmd,https://www.nikse.dk/subtitleedit,win/linux/mac,Full-featured subtitle editor,2026-04-13
006,imagemagick,ImageMagick,Media,tools/imagemagick.qmd,https://imagemagick.org,all,Command-line image processing toolkit,2026-04-16
007,pngquant,pngquant,Media,tools/pngquant.qmd,https://pngquant.org,all,PNG image compressor,2026-04-16
008,rembg,rembg,Media,tools/rembg.qmd,https://github.com/danielgatis/rembg,all,Background removal tool,2026-04-16
009,geminiwatermarktool,GeminiWatermarkTool,Media,tools/geminiwatermarktool.qmd,https://github.com/allenk/GeminiWatermarkTool,all,Gemini visible watermark removal tool,2026-04-16
010,openscreen,OpenScreen,Media,tools/openscreen.qmd,https://github.com/siddharthvaddem/openscreen,win/mac/linux,Open-source screen recorder and demo video editor,2026-04-22
